date,JulianDay,GPP.daily.raw,GPP.daily.sd,ER.daily.raw,ER.daily.sd,K600.daily.raw,K600.daily.sd,GPP.sd.cond,GPP.final,GPP.final.pos,ER.sd.cond,ER.final,DO.obs,DO.mod,DO.sat,light_sum,light_DLI,Q.cms,depth.m,AtmPressure,SpCond,turbidity,pH,tempwater,Year,Month,DO.diff,ENSO.cat,turbidity.cap
6/19/2007,170,0.662,0.285,-3.44,0.72,5.016,0.989,-0.559,0.662,0.662,1.41,-3.44,6.887,6.885,7.481015525,72714.304,65.4428736,36.116,0.824,845.9930046,333.5833333,20.03958333,8.591875,20.622,2007,Jun,0.002,EN,20.03958333
6/20/2007,171,0.99,0.309,-4.256,0.872,6.09,1.217,-0.606,0.99,0.99,1.709,-4.256,6.705,6.704,7.369184321,75643.776,68.0793984,28.869,0.723,847.6765087,334.1458333,19.21458333,8.617604167,21.354,2007,Jun,0.001,EN,19.21458333
6/21/2007,172,0.913,0.283,-4.983,1.045,6.909,1.406,-0.556,0.913,0.913,2.048,-4.983,6.678,6.676,7.429205055,65941.408,59.3472672,28.871,0.723,846.4561541,337.7708333,18.88229167,8.632083333,20.834,2007,Jun,0.002,EN,18.88229167
6/22/2007,173,0.847,0.282,-3.658,0.892,5.549,1.3,-0.552,0.847,0.847,1.749,-3.658,6.699,6.694,7.380782114,67095.392,60.3858528,27.445,0.701,844.1687168,338.0416667,19.42604167,8.608854167,21.049,2007,Jun,0.005,EN,19.42604167
6/23/2007,174,1.15,0.332,-4.361,0.948,7.261,1.517,-0.651,1.15,1.15,1.857,-4.361,6.742,6.741,7.329403124,73535.488,66.1819392,27.209,0.698,842.6180213,338.6666667,17.98020833,8.637604167,21.292,2007,Jun,0.001,EN,17.98020833
6/24/2007,175,0.93,0.298,-2.958,0.733,5.828,1.29,-0.584,0.93,0.93,1.438,-2.958,6.843,6.836,7.318730042,73603.504,66.2431536,27.831,0.707,841.854484,340.2916667,17.996875,8.685833333,21.431,2007,Jun,0.007,EN,17.996875
6/25/2007,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.912,NA,7.32789016,74533.056,67.0797504,27.15,0.697,843.4790593,341.28125,19.37291667,8.695833333,21.496,2007,Jun,NA,EN,19.37291667
6/26/2007,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.994,NA,7.344573907,73269.04,65.942136,28.286,0.714,845.612488,342,20.625,8.717708333,21.535,2007,Jun,NA,EN,20.625
6/27/2007,178,1.391,0.309,-2.097,0.481,7.007,1.189,-0.606,1.391,1.391,0.942,-2.097,7.109,7.102,7.255290181,67979.808,61.1818272,33.081,0.777,847.9053717,343.1666667,21.91354167,8.713854167,22.185,2007,Jun,0.007,EN,21.91354167
6/28/2007,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.018,NA,7.492774774,67976.272,61.1786448,32.94,0.78,847.7149427,381.1354167,415.9322917,8.509583333,20.5,2007,Jun,NA,EN,415.9322917
6/29/2007,180,0.943,0.336,-1.573,0.58,6.738,1.61,-0.658,0.943,0.943,1.137,-1.573,7.164,7.168,7.321318697,71288.048,64.1592432,29.739,0.735,846.1697402,359.4526316,553.5988372,8.416842105,21.578,2007,Jun,-0.004,EN,553.5988372
6/30/2007,181,1.428,0.349,-1.609,0.489,7.774,1.451,-0.683,1.428,1.428,0.959,-1.609,7.17,7.171,7.209946139,73051.056,65.7459504,29.509,0.732,844.8963432,346.59375,58.76145833,8.551979167,22.31,2007,Jun,-0.001,EN,58.76145833
7/1/2007,182,1.399,0.332,-1.133,0.421,7.415,1.352,-0.651,1.399,1.399,0.825,-1.133,7.185,7.183,7.148500991,69025.84,62.123256,29.252,0.728,845.0433828,347.2395833,45.46458333,8.606770833,22.791,2007,Jul,0.002,EN,45.46458333
7/2/2007,183,1.257,0.304,-1.131,0.419,6.612,1.278,-0.595,1.257,1.257,0.822,-1.131,7.222,7.22,7.212848726,63671.088,57.3039792,27.963,0.709,845.6864778,348.2916667,40.00416667,8.625416667,22.351,2007,Jul,0.002,EN,40.00416667
7/3/2007,184,1.783,0.351,-1.226,0.411,6.784,1.129,-0.689,1.783,1.783,0.805,-1.226,7.168,7.161,7.067015925,69753.008,62.7777072,26.879,0.693,845.0162193,349.09375,35.10416667,8.631666667,23.398,2007,Jul,0.007,EN,35.10416667
7/4/2007,185,1.36,0.34,-1.872,0.513,6.365,1.254,-0.667,1.36,1.36,1.006,-1.872,7.159,7.188,7.262986409,55788.512,50.2096608,27.823,0.707,847.6270745,344.8333333,122.9239583,8.665729167,22.223,2007,Jul,-0.029,EN,122.9239583
